sample,period,perk,perk_label,status,detail,nobs,ai_wage_postings,beta1_ai_role,beta1_se,beta1_pvalue,beta2_perk,beta2_se,beta2_pvalue,beta3_interaction,beta3_se,beta3_pvalue,beta3_lower_ci,beta3_upper_ci,r_squared
Small firms,2023,PARENTAL_LEAVE,Parental Leave,ok,,2296,30,0.22101011585016828,0.06933759694035196,0.001435333256636559,0.059514192899234375,0.04640606235658451,0.19967925683157772,0.06103598069574501,0.16342508376418574,0.7087913171344347,-0.259277183482059,0.38134914487354904,0.3975895262036818
Small firms,2023,CULTURE,Workplace Culture,ok,,2296,30,0.2748684343548572,0.06434215221910129,1.9374432300712844e-05,0.09800666484653464,0.0330056000548741,0.002983867356969,-0.2323218455942182,0.19934252569503058,0.24384074628186492,-0.6230331959564781,0.15838950476804176,0.3995100053757792
Small firms,2023,REMOTE_KW,Remote Work,ok,,2296,30,0.22393385065982274,0.07089374128302157,0.0015846080176194668,0.14010105994331665,0.03523540554000103,7.004160893584999e-05,0.02997550515081926,0.1432032815898201,0.8341973810036796,-0.25070292676522815,0.31065393706686667,0.4015674249130924
Small firms,2024,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_interaction_cells,,2254,26,,,,,,,,,,,,
Small firms,2024,PAID LEAVE,Paid Leave,ok,,2254,26,0.2290120854675729,0.13557041626241187,0.09117187019586588,-0.027125479315129666,0.01772966848920534,0.1260294825185406,0.20831286040492492,0.19815184372260966,0.2931304962108239,-0.18006475329139,0.5966904741012398,0.40924497666613147
Small firms,2024,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,2254,26,,,,,,,,,,,,
Small firms,2024,PARENTAL_LEAVE,Parental Leave,ok,,2254,26,0.3045319376079789,0.12051713017889917,0.011508187213332684,0.11212200917877646,0.03827593407936383,0.0033971735154664194,-0.020443107703960628,0.20629862849008976,0.9210630532106434,-0.42478841954453656,0.3839022041366153,0.41107383259214936
Small firms,2024,CULTURE,Workplace Culture,ok,,2254,26,0.3294229913662565,0.13302491639014655,0.013271455015094403,0.06542885342739596,0.031103770685555872,0.03541626923709696,-0.08943479614780703,0.1755761006220591,0.6104865229758595,-0.4335639533670429,0.25469436107142884,0.40950445486014875
Small firms,2024,REMOTE_KW,Remote Work,ok,,2254,26,0.3641234734987502,0.13252899386910016,0.006005142205866664,0.1781135077473799,0.03691485108671703,1.4001561302923187e-06,-0.23363400719575766,0.1795407158005712,0.19316022055876303,-0.5855338101648773,0.11826579577336188,0.41651414862432934
Small firms,2025,EDU_ASSISTANCE,Tuition Assistance,ok,,2497,49,0.24051781803216155,0.07715095906797566,0.0018239432765459833,0.034755923344978124,0.025017995467217197,0.16476071377300783,-0.08291226423486009,0.19523643784156647,0.6710727519309792,-0.46557568240433034,0.29975115393461016,0.4153283970087942
Small firms,2025,PAID LEAVE,Paid Leave,ok,,2497,49,0.22527215501379816,0.09152872846264157,0.013846619844836773,-0.0386416010391873,0.017431302827288143,0.02663719713536519,-0.0009631656559093704,0.13705622544386034,0.9943928947524073,-0.26959336752587565,0.2676670362140569,0.41617642067027394
Small firms,2025,HEALTH_WELLBEING,Health and Wellbeing,ok,,2497,49,0.2372943794843022,0.07727959152400535,0.0021363222953143515,0.06206463546430502,0.03572013997864718,0.08229454890194582,-0.08214718718871739,0.1992104154305647,0.6800727065080895,-0.4725996014326242,0.3083052270551894,0.41570014316255177
Small firms,2025,PARENTAL_LEAVE,Parental Leave,ok,,2497,49,0.223434879516338,0.07797547056101753,0.004164158906922682,0.04278892378440744,0.035132591008337086,0.22325179471190115,0.01956359003189534,0.19767542514899888,0.9211634826064675,-0.36788024326014246,0.40700742332393314,0.41532180592348444
Small firms,2025,CULTURE,Workplace Culture,ok,,2497,49,0.17546392088341234,0.0871354143026804,0.0440418392514768,0.08165960039994036,0.02935495275263472,0.005405838309230297,0.17757194595985393,0.12037857427415288,0.14018228626933577,-0.05837005961748573,0.4135139515371936,0.4177381849761346
Small firms,2025,REMOTE_KW,Remote Work,ok,,2497,49,0.20905825608925005,0.08230316525739992,0.011082083155639721,0.09640797776323612,0.034285294345949624,0.0049244638434031655,0.0033484352328683187,0.15251203669389587,0.9824836766280978,-0.2955751566871676,0.30227202715290424,0.41721929960053883
Medium firms,Pooled 2018-2025,EDU_ASSISTANCE,Tuition Assistance,ok,,5037,89,0.2506564562564828,0.05573851291008427,6.891687392886847e-06,0.0061245290278234,0.01623750149533664,0.7060367204830156,-0.060163267309415236,0.10266190781967545,0.5578533291739458,-0.2613806066359791,0.14105407201714865,0.49648265152721827
Medium firms,Pooled 2018-2025,PAID LEAVE,Paid Leave,ok,,5037,89,0.21475472946706864,0.07243760428568652,0.003029923140121633,0.013763678101909066,0.012561795549682557,0.2732198852245902,0.05513578474738279,0.09415918912605989,0.5581717351766946,-0.1294162259396946,0.23968779543446017,0.4966354108701422
Medium firms,Pooled 2018-2025,HEALTH_WELLBEING,Health and Wellbeing,ok,,5037,89,0.24871770758222111,0.0520637720704472,1.7777577638549573e-06,-0.0068559589457789505,0.020347524613455906,0.7361597597020597,-0.08641691584805766,0.14974681971093573,0.5638808080173207,-0.3799206824814917,0.20708685078537636,0.4964955195699088
Medium firms,Pooled 2018-2025,PARENTAL_LEAVE,Parental Leave,ok,,5037,89,0.21236148991166615,0.057087263426807644,0.0001992660317340083,0.07874692478019685,0.02212574340029066,0.0003721796079822926,0.09224705274823713,0.10202650422506633,0.3659169654073843,-0.10772489553289286,0.29221900102936715,0.4978705719439832
